self.yaw: -1.2179827690124512
self.home: array('f', [0.40923038125038147, 0.35613349080085754, 0.3800775408744812])
apriltag bezier - count : 353,   delta_t : 1,   xf : [-0.0195639  -0.2842934   0.84657055],   vehicle_position : [-0.56965882  0.44675678 -6.05326176]
apriltag bezier - count : 353,   delta_t : 2,   xf : [-0.0195639  -0.2842934   0.84657055],   vehicle_position : [-0.57109362  0.44592449 -6.00736618]
apriltag bezier - count : 353,   delta_t : 3,   xf : [-0.0195639  -0.2842934   0.84657055],   vehicle_position : [-0.57272494  0.44830811 -5.95867872]
apriltag bezier - count : 353,   delta_t : 4,   xf : [-0.0195639  -0.2842934   0.84657055],   vehicle_position : [-0.5729968   0.44996116 -5.92961931]
apriltag bezier - count : 354,   delta_t : 5,   xf : [-0.24472014 -0.3116844   1.11686778],   vehicle_position : [-0.57244146  0.45177466 -5.88050795]
apriltag bezier - count : 354,   delta_t : 1,   xf : [-0.24472014 -0.3116844   1.11686778],   vehicle_position : [-0.57076079  0.45341703 -5.80988646]
apriltag bezier - count : 354,   delta_t : 2,   xf : [-0.24472014 -0.3116844   1.11686778],   vehicle_position : [-0.56908387  0.45444879 -5.77053452]
apriltag bezier - count : 346,   delta_t : 3,   xf : [-0.24510552 -0.31199166  1.1176616 ],   vehicle_position : [-0.558541    0.45760629 -5.60987043]
apriltag bezier - count : 346,   delta_t : 1,   xf : [-0.24510552 -0.31199166  1.1176616 ],   vehicle_position : [-0.55799168  0.4576934  -5.59660912]
apriltag bezier - count : 346,   delta_t : 2,   xf : [-0.24510552 -0.31199166  1.1176616 ],   vehicle_position : [-0.55333585  0.45738214 -5.53172922]
apriltag bezier - count : 335,   delta_t : 3,   xf : [-0.24518259 -0.31205311  1.11782026],   vehicle_position : [-0.54088551  0.45605129 -5.44123363]
apriltag bezier - count : 335,   delta_t : 1,   xf : [-0.24518259 -0.31205311  1.11782026],   vehicle_position : [-0.53861421  0.45586738 -5.42791033]
apriltag bezier - count : 335,   delta_t : 2,   xf : [-0.24518259 -0.31205311  1.11782026],   vehicle_position : [-0.53744322  0.4558081  -5.42119884]
apriltag bezier - count : 335,   delta_t : 3,   xf : [-0.24518259 -0.31205311  1.11782026],   vehicle_position : [-0.53227133  0.455479   -5.38772058]
apriltag bezier - count : 335,   delta_t : 4,   xf : [-0.24518259 -0.31205311  1.11782026],   vehicle_position : [-0.52887589  0.45543206 -5.36733246]
apriltag bezier - count : 335,   delta_t : 5,   xf : [-0.24518259 -0.31205311  1.11782026],   vehicle_position : [-0.52660352  0.45538974 -5.35388374]
apriltag bezier - count : 335,   delta_t : 6,   xf : [-0.24518259 -0.31205311  1.11782026],   vehicle_position : [-0.52356786  0.45547906 -5.33356428]
apriltag bezier - count : 335,   delta_t : 7,   xf : [-0.24518259 -0.31205311  1.11782026],   vehicle_position : [-0.51394784  0.45601079 -5.26951694]
apriltag bezier - count : 321,   delta_t : 8,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.49356037  0.45327204 -5.12621069]
apriltag bezier - count : 321,   delta_t : 1,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.49155179  0.45308208 -5.11087847]
apriltag bezier - count : 321,   delta_t : 2,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.49052659  0.45298222 -5.10336685]
apriltag bezier - count : 313,   delta_t : 3,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.48618707  0.45267752 -5.07285547]
apriltag bezier - count : 313,   delta_t : 1,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.48320246  0.45228618 -5.05044222]
apriltag bezier - count : 313,   delta_t : 2,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.48225415  0.45230529 -5.04298878]
apriltag bezier - count : 313,   delta_t : 3,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.48025218  0.45238516 -5.02770042]
apriltag bezier - count : 313,   delta_t : 4,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.47822687  0.45249087 -5.0124321 ]
apriltag bezier - count : 313,   delta_t : 5,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.47548932  0.45242745 -4.9897728 ]
apriltag bezier - count : 313,   delta_t : 6,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.47455555  0.45239741 -4.9822669 ]
apriltag bezier - count : 313,   delta_t : 7,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.47253332  0.45245215 -4.96663809]
apriltag bezier - count : 313,   delta_t : 8,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.46943435  0.45261008 -4.94296408]
apriltag bezier - count : 313,   delta_t : 9,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.46758574  0.45254523 -4.92700529]
apriltag bezier - count : 313,   delta_t : 10,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.4646306   0.45244873 -4.90259218]
apriltag bezier - count : 313,   delta_t : 11,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.46271911  0.45223811 -4.88599586]
apriltag bezier - count : 313,   delta_t : 12,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.46271911  0.45223811 -4.88599586]
apriltag bezier - count : 313,   delta_t : 13,   xf : [-0.24519802 -0.31206541  1.11785209],   vehicle_position : [-0.45851424  0.45097554 -4.84362411]
apriltag bezier - count : 300,   delta_t : 14,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.44632411  0.44549298 -4.7056222 ]
apriltag bezier - count : 300,   delta_t : 1,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.44372579  0.4439621  -4.65637589]
apriltag bezier - count : 300,   delta_t : 2,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.44335455  0.44359472 -4.64650679]
apriltag bezier - count : 300,   delta_t : 3,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.44256386  0.44291294 -4.62692499]
apriltag bezier - count : 300,   delta_t : 4,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.44178581  0.44213468 -4.60666418]
apriltag bezier - count : 300,   delta_t : 5,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.44111452  0.44136575 -4.58656979]
apriltag bezier - count : 300,   delta_t : 6,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.44067314  0.44050714 -4.56633234]
apriltag bezier - count : 300,   delta_t : 7,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.44020897  0.43969157 -4.54624462]
apriltag bezier - count : 300,   delta_t : 8,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.43968925  0.43892947 -4.52581501]
apriltag bezier - count : 300,   delta_t : 9,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.43903619  0.43682861 -4.47549057]
apriltag bezier - count : 300,   delta_t : 10,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.4387114   0.43597677 -4.45564604]
apriltag bezier - count : 300,   delta_t : 11,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.43834582  0.43514282 -4.43603039]
apriltag bezier - count : 300,   delta_t : 12,   xf : [-0.24520109 -0.31206787  1.11785841],   vehicle_position : [-0.43821847  0.43468535 -4.42640018]
