self.yaw: -0.581749677658081
self.home: array('f', [0.5321373343467712, -0.35414108633995056, -2.5663838386535645])
apriltag bezier - count : 402,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.09081627 -0.68877184 -7.23271036]
apriltag bezier - count : 402,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.0914297  -0.69473851 -7.18838835]
apriltag bezier - count : 392,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.09121133 -0.70589501 -7.0653491 ]
apriltag bezier - count : 392,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.09027948 -0.70696682 -7.03016329]
apriltag bezier - count : 392,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.0889535  -0.70785576 -7.00208521]
apriltag bezier - count : 392,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.0889535  -0.70785576 -7.00208521]
apriltag bezier - count : 392,   delta_t : 4,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.08699922 -0.70776868 -6.97397089]
apriltag bezier - count : 382,   delta_t : 5,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.06101259 -0.69153577 -6.80702209]
apriltag bezier - count : 382,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.04525606 -0.67837924 -6.72664928]
apriltag bezier - count : 369,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.01588995 -0.65282977 -6.5807848 ]
apriltag bezier - count : 369,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.01039513 -0.64841717 -6.53960466]
apriltag bezier - count : 369,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.00673198 -0.64738077 -6.51239586]
apriltag bezier - count : 359,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 1.81623502e-03 -6.52142346e-01 -6.38658857e+00]
apriltag bezier - count : 359,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-1.81816722e-05 -6.56418562e-01 -6.34402895e+00]
apriltag bezier - count : 359,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-1.82222808e-03 -6.59822404e-01 -6.31004238e+00]
apriltag bezier - count : 401,   delta_t : 3,   xf : [ 0.30687524 -0.22445801  1.6965661 ],   vehicle_position : [-2.37807562e-03 -6.68715775e-01 -6.18811131e+00]
apriltag bezier - count : 401,   delta_t : 1,   xf : [ 0.30687524 -0.22445801  1.6965661 ],   vehicle_position : [-1.31416647e-03 -6.68773532e-01 -6.16707897e+00]
apriltag bezier - count : 401,   delta_t : 2,   xf : [ 0.30687524 -0.22445801  1.6965661 ],   vehicle_position : [ 4.82497318e-03 -6.67137146e-01 -6.10258675e+00]
apriltag bezier - count : 391,   delta_t : 3,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.02103222 -0.65250868 -5.95318413]
apriltag bezier - count : 391,   delta_t : 1,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.02359483 -0.64980775 -5.93358469]
apriltag bezier - count : 382,   delta_t : 2,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.0371049  -0.63881963 -5.82892799]
apriltag bezier - count : 382,   delta_t : 1,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.04063669 -0.63649702 -5.7922287 ]
apriltag bezier - count : 382,   delta_t : 2,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.04228684 -0.63568538 -5.77392054]
apriltag bezier - count : 382,   delta_t : 3,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.0457859  -0.63245827 -5.71851492]
apriltag bezier - count : 371,   delta_t : 4,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.0444425  -0.6303249  -5.56252193]
apriltag bezier - count : 371,   delta_t : 1,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.04290327 -0.6341483  -5.50107193]
apriltag bezier - count : 361,   delta_t : 2,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.04061899 -0.63768303 -5.44523573]
apriltag bezier - count : 361,   delta_t : 1,   xf : [ 0.2417808  -0.27874928  1.7094413 ],   vehicle_position : [ 0.04061899 -0.63768303 -5.44523573]
