self.yaw: 0.271124005317688
self.home: array('f', [-1.560584545135498, -1.4816746711730957, 0.18644234538078308])
apriltag bezier - count : 373,   delta_t : 29,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.78023839 -1.69900715 -7.13579893]
apriltag bezier - count : 373,   delta_t : 30,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.77674794 -1.69847739 -7.11403227]
apriltag bezier - count : 373,   delta_t : 31,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.77674794 -1.69847739 -7.11403227]
apriltag bezier - count : 373,   delta_t : 32,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.77435219 -1.69803631 -7.09880829]
apriltag bezier - count : 373,   delta_t : 33,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.77093577 -1.69721293 -7.07578659]
apriltag bezier - count : 373,   delta_t : 34,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.76886392 -1.696347   -7.06018114]
apriltag bezier - count : 373,   delta_t : 35,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.76670563 -1.69518566 -7.04382277]
apriltag bezier - count : 373,   delta_t : 36,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.76443398 -1.69389212 -7.02739763]
apriltag bezier - count : 373,   delta_t : 37,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.76224101 -1.69252121 -7.01074553]
apriltag bezier - count : 373,   delta_t : 38,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.76121187 -1.69172752 -7.00251198]
apriltag bezier - count : 373,   delta_t : 39,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.75834036 -1.68882883 -6.97693443]
apriltag bezier - count : 373,   delta_t : 40,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.7566359  -1.68655872 -6.95975018]
apriltag bezier - count : 373,   delta_t : 41,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.75501287 -1.6841079  -6.94234276]
apriltag bezier - count : 373,   delta_t : 42,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.75423098 -1.68276823 -6.9337225 ]
apriltag bezier - count : 373,   delta_t : 43,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.75196052 -1.67826438 -6.90725374]
